review_budget,review_count,score_cutoff,captured_fail_count,missed_fail_count,false_alarm_count,fail_capture_rate,review_precision
0.05,16,0.161734102505471,3,18,13,0.14285714285714285,0.1875
0.1,32,0.13777583651939398,7,14,25,0.3333333333333333,0.21875
0.2,63,0.11271776998528915,11,10,52,0.5238095238095238,0.1746031746031746
0.3,95,0.09715733072714682,16,5,79,0.7619047619047619,0.16842105263157894
0.5,157,0.07839158346731782,19,2,138,0.9047619047619048,0.12101910828025478
