feature,permutation_importance_mean,permutation_importance_std
sensor_064,0.02380417619863427,0.01298880842965727
sensor_065,0.01216416687680214,0.009940703688787383
sensor_037,0.009071178378164197,0.002910915324180602
sensor_028,0.005931581422796534,0.006846337574196971
sensor_419,0.005791559077959796,0.003499475511230309
sensor_076,0.005696243204886492,0.0029243835894089973
sensor_210,0.005568897449701643,0.0036637105526090524
sensor_031,0.005166777412462242,0.0028459782139339937
sensor_295,0.00493486082242785,0.0012049128937439062
sensor_125,0.00470850407152879,0.0047287033501027965
sensor_490,0.004558597570232509,0.003122964267719546
sensor_455,0.004429140841301355,0.0007130128726134243
sensor_499,0.004327440572810548,0.0039371161254104295
sensor_197,0.004270217606964477,0.002186469912751148
sensor_129,0.0038675873666840057,0.005702581843290269
sensor_431,0.0037695381740612045,0.0009191145429489644
sensor_429,0.0037240422700030194,0.0038688197428208503
sensor_510,0.0035424355188384436,0.0018100144941782467
sensor_587,0.003466815785558741,0.0025774895365754252
sensor_100,0.003343587337884213,0.000551042802313979
sensor_218,0.003281019298857346,0.006305716915152856
sensor_316,0.003192822162526998,0.0033530120701372916
sensor_161,0.002994305377293405,0.0034000062516808473
sensor_441,0.002856366798282145,0.0017809200213474042
sensor_146,0.0028450927258256986,0.0027158912226587554
sensor_175,0.0028247393726325565,0.004929796598158097
sensor_200,0.002635245459033536,0.002282275722428163
sensor_484,0.002582391758973207,0.006960955379769673
sensor_061,0.0025562468550564487,0.00211153453898235
sensor_066,0.002493867278365558,0.0026071452369164066
