name,threshold,recall_fail,precision_fail,f1_fail,f2_fail,pr_auc,accuracy,false_alarm_count,missed_fail_count,confusion,note
extra_trees_balanced,0.1,0.7619047619047619,0.1951219512195122,0.3106796116504854,0.4819277108433735,0.2173647511229663,0.7738853503184714,66,5,"[[227, 66], [5, 16]]",Randomized tree ensemble with class_weight=balanced.
random_forest_unweighted,0.1,0.6666666666666666,0.2028985507246377,0.3111111111111111,0.45751633986928103,0.17010566791106813,0.802547770700637,55,7,"[[238, 55], [7, 14]]",Tree ensemble without class weighting.
random_forest_balanced,0.08,0.7619047619047619,0.1568627450980392,0.2601626016260163,0.43010752688172044,0.21501232237514745,0.7101910828025477,86,5,"[[207, 86], [5, 16]]",Tree ensemble with class_weight=balanced_subsample.
isolation_forest_pass_only,0.06,0.9523809523809523,0.066006600660066,0.12345679012345678,0.25839793281653745,0.1606160456332431,0.09554140127388536,283,1,"[[10, 283], [1, 20]]",Unsupervised anomaly baseline trained only on pass samples.
logistic_regression_unweighted,0.06,0.23809523809523808,0.10204081632653061,0.14285714285714285,0.18796992481203006,0.1220125475679734,0.8089171974522293,44,16,"[[249, 44], [16, 5]]",Linear baseline without class weighting.
logistic_regression_balanced,0.62,0.19047619047619047,0.12903225806451613,0.15384615384615385,0.17391304347826086,0.12193986707056888,0.8598726114649682,27,17,"[[266, 27], [17, 4]]",Linear baseline with class_weight=balanced.
hist_gradient_boosting,0.02,0.09523809523809523,0.2222222222222222,0.13333333333333333,0.10752688172043011,0.21366393931814517,0.9171974522292994,7,19,"[[286, 7], [19, 2]]",Histogram gradient boosting baseline.
all_pass_baseline,1.0,0.0,0.0,0.0,0.0,0.06687898089171974,0.9331210191082803,0,21,"[[293, 0], [21, 0]]",Naive baseline that predicts every sample as pass.
