scenario,split,threshold,false_alarm_count,missed_fail_count,true_fail_detected,recall_fail,precision_fail,total_cost,cost_per_100_samples,false_alarm_cost,missed_fail_cost
yield_risk_sensitive,validation,0.24,1,20,1,0.047619047619047616,0.5,501.0,159.55414012738854,1.0,25.0
yield_risk_sensitive,validation,0.26,0,20,1,0.047619047619047616,1.0,500.0,159.23566878980893,1.0,25.0
yield_risk_sensitive,validation,0.28,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.30000000000000004,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.32,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.34,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.36000000000000004,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.38,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.4,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.42000000000000004,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.44,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.46,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.48000000000000004,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.5,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.52,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.54,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.56,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.5800000000000001,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.6,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.62,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.64,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.66,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.68,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.7000000000000001,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.7200000000000001,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.74,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.76,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.78,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
yield_risk_sensitive,validation,0.8,0,21,0,0.0,0.0,525.0,167.19745222929936,1.0,25.0
escape_critical,validation,0.02,293,0,21,1.0,0.06687898089171974,293.0,93.31210191082803,1.0,50.0
escape_critical,validation,0.04,278,0,21,1.0,0.07023411371237458,278.0,88.53503184713377,1.0,50.0
escape_critical,validation,0.06,215,1,20,0.9523809523809523,0.0851063829787234,265.0,84.39490445859873,1.0,50.0
escape_critical,validation,0.08,140,6,15,0.7142857142857143,0.0967741935483871,440.0,140.12738853503183,1.0,50.0
escape_critical,validation,0.1,89,8,13,0.6190476190476191,0.12745098039215685,489.0,155.7324840764331,1.0,50.0
escape_critical,validation,0.12000000000000001,58,12,9,0.42857142857142855,0.13432835820895522,658.0,209.55414012738856,1.0,50.0
escape_critical,validation,0.13999999999999999,34,16,5,0.23809523809523808,0.1282051282051282,834.0,265.6050955414013,1.0,50.0
escape_critical,validation,0.16,22,17,4,0.19047619047619047,0.15384615384615385,872.0,277.7070063694267,1.0,50.0
escape_critical,validation,0.18,13,19,2,0.09523809523809523,0.13333333333333333,963.0,306.687898089172,1.0,50.0
escape_critical,validation,0.19999999999999998,3,19,2,0.09523809523809523,0.4,953.0,303.5031847133758,1.0,50.0
escape_critical,validation,0.22,1,20,1,0.047619047619047616,0.5,1001.0,318.78980891719743,1.0,50.0
escape_critical,validation,0.24,1,20,1,0.047619047619047616,0.5,1001.0,318.78980891719743,1.0,50.0
escape_critical,validation,0.26,0,20,1,0.047619047619047616,1.0,1000.0,318.47133757961785,1.0,50.0
escape_critical,validation,0.28,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.30000000000000004,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.32,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.34,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.36000000000000004,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.38,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.4,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.42000000000000004,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.44,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.46,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.48000000000000004,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.5,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.52,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.54,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.56,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.5800000000000001,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.6,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.62,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.64,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.66,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.68,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.7000000000000001,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.7200000000000001,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.74,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.76,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.78,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
escape_critical,validation,0.8,0,21,0,0.0,0.0,1050.0,334.3949044585987,1.0,50.0
