feature,importance
sensor_059,0.012651950205725841
sensor_103,0.011477058696281708
sensor_477,0.009377909489954596
sensor_033,0.008721749697465834
sensor_519,0.008476589952681145
sensor_510,0.008331358325780707
sensor_213,0.007855804452212893
sensor_064,0.007801642072057179
sensor_031,0.007391171337105571
sensor_130,0.007299512359756535
sensor_341,0.007092973974963665
sensor_021,0.00663094285581184
sensor_351,0.006061105734761274
sensor_205,0.00589434929379033
sensor_247,0.005707671099452835
sensor_125,0.005639269211322885
sensor_065,0.005582407628412947
sensor_287,0.005478211373820875
sensor_102,0.0053415765536967705
sensor_183,0.0052939271522973955
sensor_129,0.0052582973498192295
sensor_028,0.0050770190368764675
sensor_319,0.00503814782799836
sensor_281,0.004963784399648137
sensor_152,0.00479765103778211
sensor_122,0.004542133537369063
sensor_460,0.004534606048796146
sensor_385,0.004446116806199275
sensor_577,0.004315432658118956
sensor_124,0.004304180547999893
